averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
12.0,-60.256407969282,-82.47489546545,37.243592030718
12.0,-62.990993964505,-85.209481460673,34.509006035495
12.0,-62.990993964505,-85.209481460673,34.509006035495
12.0,-62.990993964505,-85.209481460673,34.509006035495
12.0,-62.990993964505,-85.209481460673,34.509006035495
11.0,-66.191055425805,-88.409542921974,31.308944574195
11.0,-66.191055425805,-88.409542921974,31.308944574195
11.0,-66.191055425805,-88.409542921974,31.308944574195
11.0,-66.191055425805,-88.409542921974,31.308944574195
11.0,-66.191055425805,-88.409542921974,31.308944574195
11.0,-65.105503725845,-87.323991222013,32.394496274155
11.0,-66.21230638971,-88.430793885878,31.28769361029
11.0,-66.21230638971,-88.430793885878,31.28769361029
11.0,-66.21230638971,-88.430793885878,31.28769361029
11.0,-66.21230638971,-88.430793885878,31.28769361029
11.0,-62.868632154987,-85.087119651155,34.631367845013
11.0,-66.234590021948,-88.453077518116,31.265409978052
11.0,-66.234590021948,-88.453077518116,31.265409978052
11.0,-66.234590021948,-88.453077518116,31.265409978052
11.0,-66.234590021948,-88.453077518116,31.265409978052
11.0,-62.164586694487,-84.383074190656,35.335413305513
11.0,-66.257897168653,-88.476384664821,31.242102831347
11.0,-66.257897168653,-88.476384664821,31.242102831347
11.0,-66.257897168653,-88.476384664821,31.242102831347
11.0,-66.257897168653,-88.476384664821,31.242102831347
11.0,-65.967791228706,-88.186278724875,31.532208771294
11.0,-66.282218322107,-88.500705818275,31.217781677893
11.0,-66.282218322107,-88.500705818275,31.217781677893
11.0,-66.282218322107,-88.500705818275,31.217781677893
11.0,-66.282218322107,-88.500705818275,31.217781677893
11.0,-65.103989008015,-87.322476504183,32.396010991985
11.0,-66.307543633081,-88.526031129249,31.192456366919
11.0,-66.307543633081,-88.526031129249,31.192456366919
11.0,-66.307543633081,-88.526031129249,31.192456366919
11.0,-66.307543633081,-88.526031129249,31.192456366919
11.0,-63.052680070332,-85.2711675665,34.447319929668
11.0,-66.333862923456,-88.552350419624,31.166137076544
